Thread ID: 109440
Total: 0.106262

 %self     total     self     wait    child    calls  name
 10.33      0.01     0.01     0.00     0.00     4367  Hash#default
  5.84      0.01     0.01     0.00     0.00       33  Integer#gcd
  2.76      0.02     0.00     0.00     0.02       33  <Class::Rational>#reduce
  2.37      0.00     0.00     0.00     0.00       49  Rational#initialize
  1.65      0.01     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  1.64      0.01     0.00     0.00     0.01       63  Array#each
  1.50      0.00     0.00     0.00     0.00      372  Hash#[]
  1.49      0.00     0.00     0.00     0.00       95  Rack::Lint::Assertion#assert
  1.23      0.00     0.00     0.00     0.00       57  ActiveSupport::CoreExtensions::String::OutputSafety#concat
  1.07      0.02     0.00     0.00     0.02       33  Object#Rational
  0.99      0.09     0.00     0.00     0.09        1  ActiveSupport::Testing::Performance::Profiler#run
  0.99      0.00     0.00     0.00     0.00       24  Hash#each
  0.86      0.01     0.00     0.00     0.01       29  String#gsub
  0.83      0.01     0.00     0.00     0.01       49  <Class::Rational>#new!
  0.81      0.08     0.00     0.00     0.08       91  Proc#call
  0.81      0.01     0.00     0.00     0.01       83  Class#new
  0.71      0.05     0.00     0.00     0.05        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47layouts47application46html46erb
  0.67      0.01     0.00     0.00     0.01       11  Rational#/
  0.60      0.00     0.00     0.00     0.00      219  Kernel#kind_of?
  0.58      0.00     0.00     0.00     0.00        3  ActiveRecord::Calculations::ClassMethods#construct_calculation_sql
  0.55      0.00     0.00     0.00     0.00      240  Fixnum#>
  0.54      0.00     0.00     0.00     0.00        4  <Class::Date>#civil_to_jd
  0.54      0.00     0.00     0.00     0.00        4  Date#emit
  0.53      0.01     0.00     0.00     0.01       11  Rational#/-1
  0.52      0.00     0.00     0.00     0.00      204  String#==
  0.51      0.00     0.00     0.00     0.00       91  ActiveSupport::CoreExtensions::String::OutputSafety#html_safe?
  0.47      0.00     0.00     0.00     0.00       19  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.47      0.00     0.00     0.00     0.00       99  Regexp#match
  0.45      0.00     0.00     0.00     0.00        1  Range#each
  0.45      0.00     0.00     0.00     0.00      194  Fixnum#%
  0.43      0.01     0.00     0.00     0.01        8  Rational#+
  0.39      0.00     0.00     0.00     0.00        2  <Class::Date>#jd_to_civil
  0.38      0.00     0.00     0.00     0.00       21  ActiveSupport::CoreExtensions::String::OutputSafety#+
  0.36      0.00     0.00     0.00     0.00      131  Fixnum#<
  0.35      0.00     0.00     0.00     0.00       32  ActionController::Base#response
  0.33      0.00     0.00     0.00     0.00      124  Array#[]
  0.31      0.00     0.00     0.00     0.00       97  Hash#[]=
  0.30      0.00     0.00     0.00     0.00       14  Authlogic::Session::Foundation::ClassMethods#rw_config
  0.30      0.00     0.00     0.00     0.00      113  Fixnum#+
  0.30      0.00     0.00     0.00     0.00       34  String#split
  0.29      0.00     0.00     0.00     0.00       25  HashWithIndifferentAccess#convert_key
  0.29      0.00     0.00     0.00     0.00       64  Kernel#===
  0.28      0.00     0.00     0.00     0.00        5  ActionView::Helpers::UrlHelper#link_to
  0.27      0.00     0.00     0.00     0.00       94  Module#===
  0.27      0.00     0.00     0.00     0.00       14  Rack::Utils::HeaderHash#[]=
  0.27      0.09     0.00     0.00     0.09        1  ActionController::Integration::Session#process
  0.26      0.00     0.00     0.00     0.00      105  String#[]
  0.26      0.00     0.00     0.00     0.00       20  Array#include?
  0.26      0.01     0.00     0.00     0.00        5  Rational#-
  0.26      0.00     0.00     0.00     0.00       13  ActiveSupport::CoreExtensions::String::OutputSafety#<<
  0.25      0.00     0.00     0.00     0.00       16  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.24      0.00     0.00     0.00     0.00       58  String#inspect
  0.24      0.00     0.00     0.00     0.00       85  Fixnum#==
  0.24      0.00     0.00     0.00     0.00       16  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.23      0.00     0.00     0.00     0.00       72  String#downcase
  0.22      0.00     0.00     0.00     0.00       37  Class#inheritable_attributes
  0.22      0.00     0.00     0.00     0.00       57  Kernel#respond_to?
  0.21      0.00     0.00     0.00     0.00       75  <Class::Object>#allocate
  0.21      0.00     0.00     0.00     0.00       17  Rack::Utils::HeaderHash#[]
  0.21      0.00     0.00     0.00     0.00        7  <Class::Date>#julian?
  0.20      0.00     0.00     0.00     0.00       57  Symbol#to_s
  0.20      0.00     0.00     0.00     0.00       63  <Class::Thread>#current
  0.20      0.01     0.00     0.00     0.01        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47welcome47index46html46erb
  0.20      0.00     0.00     0.00     0.00        8  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.20      0.00     0.00     0.00     0.00       70  String#concat_without_safety
  0.20      0.00     0.00     0.00     0.00       19  Class#read_inheritable_attribute
  0.19      0.00     0.00     0.00     0.00       17  ActiveSupport::BufferedLogger#buffer
  0.19      0.00     0.00     0.00     0.00       65  String#to_s
  0.19      0.00     0.00     0.00     0.00        9  HashWithIndifferentAccess#initialize
  0.19      0.00     0.00     0.00     0.00       75  Array#size
  0.19      0.00     0.00     0.00     0.00       57  Fixnum#*
  0.19      0.01     0.00     0.00     0.01        9  ActiveSupport::Callbacks::Callback#evaluate_method
  0.19      0.00     0.00     0.00     0.00       63  Kernel#class
  0.18      0.00     0.00     0.00     0.00       12  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool-1
  0.18      0.00     0.00     0.00     0.00       46  Hash#delete
  0.18      0.00     0.00     0.00     0.00       17  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.18      0.00     0.00     0.00     0.00        9  Integer#to_r
  0.17      0.08     0.00     0.00     0.08       24  Kernel#send-1
  0.17      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#convert_value
  0.17      0.00     0.00     0.00     0.00       16  <Class::ActiveRecord::Base>#retrieve_connection
  0.17      0.00     0.00     0.00     0.00       14  Rack::Utils::HeaderHash#delete
  0.16      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#add
  0.16      0.00     0.00     0.00     0.00       35  Comparable#>
  0.15      0.00     0.00     0.00     0.00        2  <Class::Date>#commercial_to_jd
  0.15      0.00     0.00     0.00     0.00       55  Kernel#==
  0.15      0.06     0.00     0.00     0.06        4  <Module::Benchmark>#realtime-1
  0.15      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_exit
  0.15      0.00     0.00     0.00     0.00       11  Hash#each_pair
  0.15      0.01     0.00     0.00     0.01        5  ActiveSupport::Callbacks#run_callbacks
  0.15      0.00     0.00     0.00     0.00        5  Mutex#synchronize-1
  0.14      0.00     0.00     0.00     0.00       13  Array#each-1
  0.14      0.00     0.00     0.00     0.00        3  Mysql#query
  0.14      0.00     0.00     0.00     0.00       48  Kernel#hash
  0.14      0.00     0.00     0.00     0.00       53  Bignum#<=>
  0.14      0.00     0.00     0.00     0.00       44  Bignum#%
  0.14      0.00     0.00     0.00     0.00        4  Date#emit_w
  0.14      0.00     0.00     0.00     0.00       16  <Class::ActiveRecord::Base>#connection
  0.14      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#add_joins!
  0.14      0.00     0.00     0.00     0.00       16  String#blank?
  0.13      0.00     0.00     0.00     0.00        5  <Module::ActiveSupport::Multibyte>#clean
  0.13      0.08     0.00     0.00     0.08        1  ActionController::Session::CookieStore#call
  0.13      0.07     0.00     0.00     0.07        1  ActionController::Benchmarking#perform_action_without_rescue
